"id","name","note","date","registration_close","member_cost","non_member_cost","pay_at_event_cost","location_id","club_name","season_id","multiplier","count_points"
"11946","Buschur Auto-X 2",NULL,"2011-08-20 00:00:00","2011-08-19 12:00:00","0","0","0",NULL,"Buschur","5","1","0"
"11948","Points Event 1",NULL,"2012-04-01 00:00:00","2012-03-31 12:00:00","30","40","5","6","NORA - ASCC","6","1","0"
"11949","Novice Drivers School",NULL,"2012-04-14 00:00:00","2012-04-13 12:00:00","60","75","0","6","NORA - ASCC","6","1","0"
"11950","Points Event 2",NULL,"2012-04-15 00:00:00","2012-04-14 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11951","Points Event 3",NULL,"2012-05-06 00:00:00","2012-05-05 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11952","Points event 4",NULL,"2012-05-20 00:00:00","2012-05-19 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11953","Points Event 5",NULL,"2012-06-03 00:00:00","2012-06-02 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11954","Points Event 6",NULL,"2012-06-16 00:00:00","2012-06-15 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11955","Points Event 7",NULL,"2012-07-01 00:00:00","2012-06-30 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11956","Points Event 8",NULL,"2012-07-15 00:00:00","2012-07-14 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11957","Points Event 9",NULL,"2012-08-05 00:00:00","2012-08-04 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11958","Points Event 10",NULL,"2012-08-19 00:00:00","2012-08-18 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11959","Points Event 11",NULL,"2012-09-02 00:00:00","2012-09-01 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11960","Points Event 12",NULL,"2012-09-16 00:00:00","2012-09-15 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11961","Points Event 13",NULL,"2012-10-07 00:00:00","2012-10-06 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
"11962","Points Event 14",NULL,"2012-10-21 00:00:00","2012-10-20 12:00:00","30","40","5","6","NORA - ASCC","6","1","1"
